dataset_name,tier,wql_geometric_mean,mase_geometric_mean,num_processed_series,processing_time_seconds,target_column,workers_used,processed_series_ids,too_short_count,invalid_count,streaming_mode
dominick,medium,0.41864857111029585,1.303068534804779,47,154.04785299301147,target,12,"['T078726', 'T025955', 'T031743', 'T014902', 'T072957', 'T005716', 'T008936', 'T052435', 'T053018', 'T079966', 'T074437', 'T033480', 'T067802', 'T090376', 'T000690', 'T089364', 'T052864', 'T088382', 'T029723', 'T011943', 'T049590', 'T079559', 'T058746', 'T023598', 'T016458', 'T039960', 'T061545', 'T084759', 'T086972', 'T099139', 'T078192', 'T080288', 'T083170', 'T007875', 'T005904', 'T009508', 'T049878', 'T071389', 'T000149', 'T064865', 'T000856', 'T062605', 'T009842', 'T044987', 'T085659', 'T030822', 'T080510']",0,53,True
electricity_15min,medium_large,0.06293461810209545,0.6566423711670585,99,72.71888375282288,consumption_kW,16,"['MT_328', 'MT_034', 'MT_016', 'MT_315', 'MT_058', 'MT_240', 'MT_077', 'MT_120', 'MT_306', 'MT_127', 'MT_234', 'MT_040', 'MT_154', 'MT_056', 'MT_156', 'MT_279', 'MT_001', 'MT_232', 'MT_335', 'MT_102', 'MT_010', 'MT_181', 'MT_073', 'MT_238', 'MT_256', 'MT_138', 'MT_226', 'MT_195', 'MT_194', 'MT_367', 'MT_026', 'MT_109', 'MT_043', 'MT_358', 'MT_289', 'MT_115', 'MT_064', 'MT_023', 'MT_153', 'MT_177', 'MT_250', 'MT_298', 'MT_031', 'MT_220', 'MT_110', 'MT_125', 'MT_091', 'MT_057', 'MT_006', 'MT_046', 'MT_352', 'MT_146', 'MT_287', 'MT_219', 'MT_251', 'MT_343', 'MT_094', 'MT_004', 'MT_350', 'MT_078', 'MT_133', 'MT_311', 'MT_079', 'MT_047', 'MT_221', 'MT_074', 'MT_230', 'MT_327', 'MT_209', 'MT_083', 'MT_095', 'MT_196', 'MT_312', 'MT_293', 'MT_346', 'MT_193', 'MT_076', 'MT_085', 'MT_359', 'MT_017', 'MT_067', 'MT_284', 'MT_008', 'MT_114', 'MT_117', 'MT_329', 'MT_324', 'MT_275', 'MT_164', 'MT_111', 'MT_369', 'MT_061', 'MT_158', 'MT_322', 'MT_228', 'MT_142', 'MT_018', 'MT_247', 'MT_025']",0,1,False
ercot,medium,,,0,30.125308752059937,target,12,[],0,8,True
exchange_rate,very_small,0.005531259414182168,1.464314304592056,8,10.288379907608032,target,4,"['currency_2', 'currency_6', 'currency_1', 'currency_8', 'currency_3', 'currency_5', 'currency_4', 'currency_7']",0,0,False
m4_daily,small,0.018882616310735584,2.2572283907810116,510,228.75580382347107,target,8,"['T001611', 'T001604', 'T001608', 'T001603', 'T001610', 'T001605', 'T001612', 'T001607', 'T001606', 'T001609', 'T003559', 'T003518', 'T002389', 'T002703', 'T003457', 'T002279', 'T002094', 'T002632', 'T002272', 'T002535', 'T002065', 'T002387', 'T002894', 'T003563', 'T003588', 'T002338', 'T002516', 'T003083', 'T003545', 'T002553', 'T003419', 'T002210', 'T002255', 'T003280', 'T003138', 'T002416', 'T003200', 'T002310', 'T003297', 'T003244', 'T003397', 'T002159', 'T002333', 'T002625', 'T002823', 'T003435', 'T003019', 'T002759', 'T002842', 'T002596', 'T002100', 'T002176', 'T002815', 'T002429', 'T002309', 'T003133', 'T002663', 'T002739', 'T002388', 'T002197', 'T003334', 'T002219', 'T002923', 'T003390', 'T002238', 'T002549', 'T002816', 'T002649', 'T003298', 'T003226', 'T002296', 'T002589', 'T002058', 'T003412', 'T003029', 'T002084', 'T002341', 'T002134', 'T003125', 'T003584', 'T003491', 'T002463', 'T002727', 'T003548', 'T002528', 'T002671', 'T002203', 'T003337', 'T002570', 'T002409', 'T003036', 'T002601', 'T003192', 'T003508', 'T002714', 'T002274', 'T002086', 'T002105', 'T003308', 'T002111', 'T003304', 'T003186', 'T003323', 'T002208', 'T002446', 'T002807', 'T002170', 'T003212', 'T003589', 'T002377', 'T001758', 'T001948', 'T001788', 'T001984', 'T002031', 'T001686', 'T001745', 'T001750', 'T001643', 'T001685', 'T001683', 'T001707', 'T001983', 'T001703', 'T001940', 'T002027', 'T001622', 'T001860', 'T001809', 'T001844', 'T001805', 'T001852', 'T001962', 'T001841', 'T001668', 'T001968', 'T001669', 'T001910', 'T001884', 'T001692', 'T002024', 'T001729', 'T001821', 'T001807', 'T001977', 'T001797', 'T001831', 'T001652', 'T001781', 'T001875', 'T001688', 'T001689', 'T002030', 'T001646', 'T001726', 'T001990', 'T001761', 'T001907', 'T001982', 'T001628', 'T001691', 'T001930', 'T001613', 'T001632', 'T001979', 'T001891', 'T001893', 'T001890', 'T001690', 'T001695', 'T001971', 'T001717', 'T001638', 'T001994', 'T001785', 'T001981', 'T001879', 'T001655', 'T001786', 'T002022', 'T001737', 'T001954', 'T001909', 'T001885', 'T001635', 'T001659', 'T001897', 'T001706', 'T002021', 'T002023', 'T001670', 'T002026', 'T001637', 'T001630', 'T001679', 'T001744', 'T001644', 'T001697', 'T001902', 'T001986', 'T001947', 'T001766', 'T001859', 'T001817', 'T001823', 'T001618', 'T001658', 'T001894', 'T002017', 'T001995', 'T000026', 'T000111', 'T000081', 'T000055', 'T000044', 'T000096', 'T000080', 'T000125', 'T000114', 'T000062', 'T000045', 'T000004', 'T000018', 'T000095', 'T000036', 'T000094', 'T000019', 'T000120', 'T000010', 'T000040', 'T000011', 'T000098', 'T000104', 'T000077', 'T000000', 'T000078', 'T000068', 'T000069', 'T000012', 'T000042', 'T000031', 'T000027', 'T000024', 'T000093', 'T000110', 'T000091', 'T000015', 'T000076', 'T000022', 'T000047', 'T000064', 'T000105', 'T000030', 'T000083', 'T000066', 'T000009', 'T000033', 'T000065', 'T000025', 'T000073', 'T000028', 'T000056', 'T000124', 'T000053', 'T000005', 'T000067', 'T000097', 'T000039', 'T000049', 'T000035', 'T000016', 'T000070', 'T000034', 'T000084', 'T000007', 'T000043', 'T000121', 'T000118', 'T000107', 'T000008', 'T000013', 'T000089', 'T000003', 'T000017', 'T000038', 'T000072', 'T000112', 'T000006', 'T000117', 'T000109', 'T000101', 'T000054', 'T000050', 'T000085', 'T000046', 'T000116', 'T000061', 'T000123', 'T000079', 'T000100', 'T000041', 'T000058', 'T000090', 'T000048', 'T000088', 'T000108', 'T000057', 'T000075', 'T000032', 'T000119', 'T001252', 'T000311', 'T001353', 'T000194', 'T000347', 'T001030', 'T000557', 'T000367', 'T000345', 'T000176', 'T000943', 'T000971', 'T000746', 'T000488', 'T001556', 'T001000', 'T001566', 'T000881', 'T000398', 'T000649', 'T000386', 'T000555', 'T001294', 'T000404', 'T001095', 'T000697', 'T000799', 'T000748', 'T001176', 'T000374', 'T001355', 'T000947', 'T000884', 'T000591', 'T000770', 'T000833', 'T000818', 'T001113', 'T000178', 'T000897', 'T000295', 'T001225', 'T000966', 'T000894', 'T000490', 'T000388', 'T001075', 'T001045', 'T000656', 'T001021', 'T000556', 'T000436', 'T000250', 'T001093', 'T000951', 'T001417', 'T000330', 'T000654', 'T000864', 'T000665', 'T001474', 'T001239', 'T001026', 'T000716', 'T001563', 'T000319', 'T000466', 'T000854', 'T000416', 'T001063', 'T001488', 'T000156', 'T000613', 'T000203', 'T001032', 'T000192', 'T001277', 'T000711', 'T001540', 'T001452', 'T001243', 'T000659', 'T001194', 'T000605', 'T000919', 'T001323', 'T001170', 'T000620', 'T000755', 'T000171', 'T000186', 'T000150', 'T001536', 'T000508', 'T000242', 'T000469', 'T001341', 'T000525', 'T001306', 'T000560', 'T003923', 'T003841', 'T003984', 'T003739', 'T004091', 'T004107', 'T003759', 'T003671', 'T004128', 'T003757', 'T003865', 'T003625', 'T003649', 'T003684', 'T004170', 'T003670', 'T003596', 'T003850', 'T003905', 'T003928', 'T003725', 'T003885', 'T003643', 'T004223', 'T004119', 'T003704', 'T003968', 'T003872', 'T004222', 'T003855', 'T004058', 'T004042', 'T003838', 'T004164', 'T003726', 'T003929', 'T003912', 'T004214', 'T003749', 'T003916', 'T003955', 'T003633', 'T003680', 'T004045', 'T003921', 'T003806', 'T003858', 'T003798', 'T003672', 'T003948', 'T003804', 'T003883', 'T003604', 'T003770', 'T004194', 'T004191', 'T003729', 'T004105', 'T003974', 'T003624', 'T004181', 'T004093', 'T003790', 'T003635', 'T003842', 'T003878', 'T003650', 'T003997', 'T004136', 'T004110', 'T004144', 'T003618', 'T003676', 'T003886', 'T003752', 'T004116', 'T004146', 'T003664', 'T003961', 'T003853', 'T003768', 'T003654', 'T004003', 'T004010', 'T003807', 'T004196', 'T004185', 'T003775', 'T003771', 'T003778', 'T003875', 'T003938', 'T003623', 'T003914', 'T003695', 'T003881', 'T003944', 'T003854', 'T003895', 'T003871']",0,0,False
m4_hourly,medium,0.023855808203876807,0.33890560889643917,100,57.019317388534546,target,12,"['T000358', 'T000350', 'T000373', 'T000399', 'T000369', 'T000072', 'T000262', 'T000140', 'T000093', 'T000070', 'T000118', 'T000131', 'T000336', 'T000055', 'T000126', 'T000376', 'T000056', 'T000291', 'T000365', 'T000084', 'T000116', 'T000009', 'T000374', 'T000137', 'T000320', 'T000402', 'T000231', 'T000090', 'T000094', 'T000173', 'T000030', 'T000141', 'T000104', 'T000079', 'T000033', 'T000290', 'T000286', 'T000409', 'T000222', 'T000361', 'T000015', 'T000311', 'T000000', 'T000317', 'T000272', 'T000124', 'T000271', 'T000184', 'T000275', 'T000360', 'T000225', 'T000355', 'T000364', 'T000274', 'T000175', 'T000073', 'T000042', 'T000165', 'T000077', 'T000039', 'T000401', 'T000025', 'T000155', 'T000180', 'T000347', 'T000266', 'T000022', 'T000046', 'T000078', 'T000152', 'T000082', 'T000076', 'T000057', 'T000110', 'T000024', 'T000017', 'T000238', 'T000405', 'T000031', 'T000283', 'T000157', 'T000203', 'T000208', 'T000192', 'T000234', 'T000005', 'T000045', 'T000245', 'T000346', 'T000195', 'T000382', 'T000400', 'T000296', 'T000003', 'T000018', 'T000250', 'T000060', 'T000390', 'T000408', 'T000063']",0,0,False
m4_monthly,small,0.05434568863884326,1.4901698238800567,600,255.3859486579895,target,8,"['T025436', 'T025109', 'T024884', 'T025201', 'T026594', 'T021552', 'T024752', 'T025206', 'T026587', 'T021168', 'T022100', 'T024369', 'T021392', 'T024004', 'T025185', 'T022024', 'T023155', 'T026417', 'T025802', 'T021444', 'T021071', 'T022956', 'T025324', 'T023977', 'T024226', 'T024308', 'T022388', 'T024176', 'T024375', 'T021687', 'T026253', 'T023745', 'T024319', 'T021960', 'T021839', 'T026651', 'T021092', 'T025611', 'T025300', 'T021602', 'T021742', 'T026315', 'T021324', 'T021310', 'T023620', 'T022172', 'T022120', 'T022402', 'T026086', 'T021703', 'T022634', 'T026387', 'T021456', 'T026657', 'T022577', 'T022474', 'T022723', 'T025394', 'T024695', 'T025531', 'T024496', 'T022078', 'T021923', 'T022341', 'T024926', 'T022164', 'T026715', 'T024343', 'T024609', 'T023594', 'T023610', 'T021148', 'T021315', 'T024529', 'T022586', 'T023324', 'T022709', 'T022530', 'T025431', 'T022609', 'T025054', 'T023647', 'T024995', 'T025461', 'T021337', 'T022712', 'T026148', 'T025083', 'T025889', 'T023798', 'T021158', 'T022504', 'T025876', 'T026615', 'T023575', 'T022557', 'T022732', 'T025622', 'T023154', 'T023785', 'T036843', 'T046511', 'T040160', 'T044681', 'T042790', 'T045662', 'T044752', 'T047078', 'T038454', 'T041183', 'T046118', 'T040768', 'T039143', 'T041239', 'T042068', 'T040043', 'T043216', 'T037134', 'T047692', 'T043292', 'T039818', 'T037696', 'T041508', 'T038353', 'T047602', 'T044167', 'T037430', 'T037476', 'T045200', 'T041742', 'T040930', 'T046841', 'T039270', 'T047028', 'T045803', 'T040897', 'T041812', 'T039527', 'T043526', 'T038427', 'T046311', 'T037483', 'T046731', 'T046790', 'T039223', 'T044343', 'T043169', 'T037857', 'T039124', 'T045954', 'T037269', 'T047381', 'T046026', 'T044544', 'T042197', 'T045960', 'T037949', 'T041719', 'T045173', 'T040388', 'T036987', 'T046294', 'T047120', 'T047234', 'T036769', 'T047400', 'T042592', 'T038446', 'T043087', 'T038754', 'T042467', 'T041789', 'T041998', 'T044834', 'T046044', 'T039345', 'T042384', 'T038428', 'T042599', 'T046691', 'T045639', 'T045999', 'T042918', 'T041635', 'T038640', 'T039324', 'T045929', 'T037135', 'T040001', 'T042014', 'T041690', 'T041769', 'T045868', 'T041316', 'T043077', 'T042189', 'T047637', 'T043613', 'T039543', 'T042133', 'T028336', 'T031671', 'T028887', 'T027809', 'T034476', 'T034793', 'T028955', 'T034983', 'T035074', 'T035676', 'T027251', 'T027484', 'T028074', 'T032557', 'T026799', 'T029891', 'T029420', 'T035105', 'T027966', 'T032399', 'T033794', 'T030821', 'T028656', 'T032278', 'T033015', 'T027219', 'T035732', 'T036593', 'T034948', 'T031071', 'T036144', 'T031299', 'T036605', 'T035632', 'T031415', 'T034705', 'T027169', 'T035274', 'T031169', 'T028411', 'T032140', 'T032796', 'T028288', 'T035784', 'T035967', 'T035844', 'T030399', 'T033979', 'T030765', 'T029950', 'T029496', 'T027423', 'T027902', 'T029751', 'T029726', 'T032538', 'T030716', 'T034991', 'T030028', 'T028450', 'T026754', 'T027295', 'T028232', 'T031085', 'T026758', 'T031837', 'T035295', 'T034103', 'T035619', 'T030403', 'T035974', 'T035826', 'T033110', 'T032736', 'T027206', 'T028160', 'T036421', 'T036279', 'T035020', 'T031281', 'T034571', 'T032777', 'T030668', 'T034587', 'T035347', 'T034519', 'T030757', 'T035138', 'T034832', 'T035203', 'T033644', 'T035753', 'T034922', 'T036504', 'T028379', 'T033011', 'T028460', 'T031728', 'T027518', 'T029779', 'T001617', 'T009936', 'T002168', 'T001090', 'T007756', 'T008630', 'T006568', 'T006608', 'T002310', 'T005957', 'T000532', 'T000765', 'T001355', 'T005837', 'T000080', 'T005884', 'T005558', 'T005756', 'T001247', 'T006187', 'T007074', 'T004759', 'T001937', 'T005537', 'T004401', 'T000500', 'T009130', 'T002291', 'T008685', 'T007909', 'T003542', 'T005354', 'T006931', 'T007902', 'T003680', 'T009350', 'T000450', 'T005496', 'T004130', 'T001692', 'T003194', 'T002458', 'T001569', 'T009131', 'T007692', 'T009446', 'T008076', 'T007837', 'T004354', 'T009755', 'T006188', 'T000704', 'T001183', 'T003290', 'T003006', 'T004509', 'T006425', 'T005411', 'T004823', 'T001731', 'T000035', 'T000576', 'T001513', 'T003320', 'T000039', 'T002760', 'T008492', 'T009788', 'T005931', 'T004097', 'T005792', 'T005703', 'T004423', 'T003620', 'T000487', 'T001441', 'T003393', 'T006301', 'T008779', 'T004561', 'T007503', 'T004554', 'T002275', 'T008501', 'T002586', 'T007169', 'T004264', 'T003883', 'T009935', 'T005436', 'T008354', 'T003485', 'T002474', 'T003284', 'T001660', 'T008575', 'T001741', 'T007207', 'T000799', 'T003059', 'T019178', 'T017802', 'T013798', 'T016859', 'T015483', 'T010376', 'T019542', 'T010414', 'T019921', 'T010689', 'T012104', 'T019365', 'T011217', 'T012317', 'T020029', 'T017881', 'T013281', 'T013672', 'T013875', 'T012725', 'T015639', 'T012124', 'T016518', 'T012852', 'T019689', 'T014368', 'T015022', 'T010868', 'T011886', 'T012190', 'T018582', 'T010234', 'T011592', 'T018622', 'T010811', 'T014805', 'T013302', 'T013726', 'T010123', 'T012408', 'T015171', 'T017066', 'T020082', 'T014916', 'T020258', 'T013018', 'T011821', 'T015566', 'T016555', 'T014091', 'T019119', 'T010049', 'T011072', 'T010319', 'T017759', 'T013066', 'T015443', 'T016539', 'T012592', 'T012547', 'T012508', 'T018873', 'T012114', 'T010756', 'T014262', 'T018365', 'T018870', 'T015503', 'T012184', 'T014244', 'T014464', 'T018169', 'T017665', 'T011686', 'T014391', 'T013965', 'T011474', 'T014893', 'T015405', 'T018207', 'T019976', 'T012532', 'T020577', 'T018573', 'T019574', 'T016367', 'T012085', 'T017625', 'T015846', 'T018758', 'T012878', 'T017857', 'T016687', 'T018256', 'T012428', 'T017067', 'T019535', 'T013260', 'T015025', 'T015964', 'T047753', 'T047849', 'T047943', 'T047865', 'T047978', 'T047959', 'T047820', 'T047938', 'T047979', 'T047867', 'T047802', 'T047931', 'T047953', 'T047824', 'T047995', 'T047837', 'T047916', 'T047783', 'T047925', 'T047964', 'T047768', 'T047796', 'T047904', 'T047888', 'T047997', 'T047935', 'T047807', 'T047765', 'T047732', 'T047841', 'T047745', 'T047878', 'T047747', 'T047890', 'T047948', 'T047798', 'T047956', 'T047985', 'T047729', 'T047791', 'T047769', 'T047899', 'T047789', 'T047748', 'T047848', 'T047936', 'T047742', 'T047805', 'T047981', 'T047992', 'T047813', 'T047875', 'T047983', 'T047738', 'T047882', 'T047733', 'T047982', 'T047847', 'T047756', 'T047809', 'T047986', 'T047920', 'T047760', 'T047863', 'T047739', 'T047915', 'T047965', 'T047790', 'T047855', 'T047877', 'T047838', 'T047860', 'T047926', 'T047800', 'T047741', 'T047984', 'T047927', 'T047816', 'T047842', 'T047815', 'T047895', 'T047778', 'T047929', 'T047932', 'T047761', 'T047923', 'T047866', 'T047780', 'T047989', 'T047896', 'T047900', 'T047754', 'T047977', 'T047801', 'T047917', 'T047843', 'T047961', 'T047834', 'T047907', 'T047831']",0,0,False
mexico_city_bikes,medium_large,0.6023336853884427,0.7182588715822629,100,56.7173707485199,target,16,"['64', '160', '369', '251', '389', '274', '233', '145', '378', '104', '189', '271', '314', '266', '186', '35', '59', '122', '217', '90', '475', '348', '94', '16', '152', '179', '440', '84', '164', '157', '49', '163', '22', '100', '386', '166', '278', '258', '7', '370', '268-269', '479', '125', '372', '1', '106', '88', '25', '170', '293', '469', '381', '436', '2', '111', '447', '458', '95', '309', '334', '433', '130', '58', '330', '72', '231', '400', '158-159', '336', '311', '91', '212', '176', '158', '93', '31', '299', '165', '169', '300', '376', '86', '211', '52', '431', '205', '471', '470', '207', '329', '397', '172', '162', '477', '109', '450', '430', '112', '73', '5']",0,0,False
monash_car_parts,medium,1.3664337894324778,0.834447081606295,75,59.38011598587036,target,12,"['T001083', 'T001701', 'T001795', 'T001259', 'T001610', 'T001791', 'T002458', 'T000761', 'T002120', 'T002344', 'T002592', 'T001900', 'T001195', 'T000670', 'T000937', 'T001189', 'T002154', 'T002461', 'T000498', 'T001234', 'T001463', 'T001338', 'T002505', 'T002042', 'T001053', 'T002541', 'T002468', 'T002115', 'T002203', 'T000838', 'T001467', 'T001125', 'T001533', 'T001756', 'T000270', 'T001499', 'T002575', 'T001100', 'T000460', 'T001532', 'T000841', 'T001662', 'T000457', 'T001216', 'T002206', 'T002430', 'T001831', 'T000655', 'T000387', 'T001828', 'T000486', 'T002087', 'T001010', 'T001967', 'T002465', 'T001814', 'T002313', 'T001498', 'T002555', 'T002481', 'T001242', 'T000073', 'T000719', 'T000554', 'T001087', 'T001313', 'T000605', 'T000916', 'T000748', 'T002026', 'T000408', 'T001583', 'T002107', 'T001370', 'T001260']",0,25,False
monash_covid_deaths,medium,0.02132241629404576,2.8937091206154077,86,47.384095907211304,target,12,"['T000181', 'T000119', 'T000216', 'T000045', 'T000256', 'T000146', 'T000115', 'T000097', 'T000086', 'T000073', 'T000215', 'T000220', 'T000030', 'T000009', 'T000118', 'T000120', 'T000024', 'T000213', 'T000259', 'T000200', 'T000162', 'T000116', 'T000006', 'T000222', 'T000177', 'T000141', 'T000221', 'T000067', 'T000019', 'T000126', 'T000152', 'T000068', 'T000111', 'T000060', 'T000015', 'T000193', 'T000238', 'T000201', 'T000033', 'T000137', 'T000247', 'T000016', 'T000125', 'T000258', 'T000075', 'T000025', 'T000176', 'T000197', 'T000109', 'T000018', 'T000127', 'T000147', 'T000244', 'T000154', 'T000185', 'T000066', 'T000113', 'T000079', 'T000055', 'T000224', 'T000190', 'T000038', 'T000148', 'T000090', 'T000239', 'T000084', 'T000182', 'T000114', 'T000112', 'T000173', 'T000101', 'T000234', 'T000144', 'T000096', 'T000194', 'T000092', 'T000069', 'T000002', 'T000232', 'T000158', 'T000143', 'T000165', 'T000240', 'T000074', 'T000264', 'T000029']",0,14,False
monash_electricity_weekly,large,0.05888174970621998,1.231236771577634,100,60.759408712387085,target,20,"['T000173', 'T000132', 'T000197', 'T000009', 'T000104', 'T000119', 'T000250', 'T000158', 'T000226', 'T000310', 'T000196', 'T000090', 'T000277', 'T000084', 'T000185', 'T000268', 'T000126', 'T000078', 'T000025', 'T000005', 'T000204', 'T000055', 'T000046', 'T000304', 'T000298', 'T000114', 'T000057', 'T000077', 'T000195', 'T000254', 'T000108', 'T000208', 'T000063', 'T000209', 'T000247', 'T000172', 'T000290', 'T000033', 'T000143', 'T000164', 'T000302', 'T000042', 'T000256', 'T000316', 'T000045', 'T000301', 'T000082', 'T000094', 'T000016', 'T000075', 'T000093', 'T000007', 'T000179', 'T000076', 'T000286', 'T000282', 'T000313', 'T000003', 'T000225', 'T000116', 'T000229', 'T000060', 'T000289', 'T000260', 'T000118', 'T000180', 'T000017', 'T000024', 'T000176', 'T000110', 'T000073', 'T000101', 'T000137', 'T000281', 'T000294', 'T000113', 'T000218', 'T000318', 'T000244', 'T000031', 'T000267', 'T000168', 'T000148', 'T000221', 'T000227', 'T000139', 'T000059', 'T000163', 'T000006', 'T000198', 'T000030', 'T000022', 'T000284', 'T000246', 'T000056', 'T000167', 'T000145', 'T000206', 'T000081', 'T000147']",0,0,False
monash_fred_md,medium,0.020175487377630034,2.1458473147457595,100,60.66421055793762,target,12,"['T000076', 'T000010', 'T000004', 'T000099', 'T000070', 'T000066', 'T000030', 'T000045', 'T000094', 'T000011', 'T000078', 'T000047', 'T000000', 'T000079', 'T000018', 'T000105', 'T000055', 'T000077', 'T000065', 'T000042', 'T000012', 'T000036', 'T000067', 'T000026', 'T000022', 'T000031', 'T000056', 'T000096', 'T000015', 'T000044', 'T000089', 'T000088', 'T000009', 'T000033', 'T000068', 'T000101', 'T000028', 'T000040', 'T000005', 'T000053', 'T000081', 'T000039', 'T000035', 'T000016', 'T000080', 'T000034', 'T000007', 'T000043', 'T000064', 'T000106', 'T000027', 'T000019', 'T000098', 'T000091', 'T000025', 'T000062', 'T000049', 'T000013', 'T000024', 'T000003', 'T000017', 'T000038', 'T000008', 'T000083', 'T000006', 'T000069', 'T000093', 'T000085', 'T000054', 'T000050', 'T000072', 'T000046', 'T000073', 'T000061', 'T000103', 'T000084', 'T000041', 'T000058', 'T000048', 'T000104', 'T000057', 'T000075', 'T000032', 'T000100', 'T000059', 'T000063', 'T000090', 'T000037', 'T000029', 'T000095', 'T000001', 'T000052', 'T000021', 'T000002', 'T000023', 'T000087', 'T000097', 'T000074', 'T000086', 'T000082']",0,0,False
monash_hospital,medium,0.14440556238202532,0.8408310827515852,100,60.05607867240906,target,12,"['T000668', 'T000325', 'T000624', 'T000690', 'T000522', 'T000205', 'T000098', 'T000337', 'T000568', 'T000149', 'T000498', 'T000213', 'T000200', 'T000266', 'T000614', 'T000357', 'T000501', 'T000457', 'T000707', 'T000214', 'T000620', 'T000544', 'T000087', 'T000209', 'T000282', 'T000210', 'T000384', 'T000639', 'T000329', 'T000437', 'T000121', 'T000364', 'T000425', 'T000301', 'T000068', 'T000339', 'T000579', 'T000067', 'T000582', 'T000079', 'T000452', 'T000604', 'T000031', 'T000635', 'T000034', 'T000032', 'T000040', 'T000078', 'T000300', 'T000487', 'T000629', 'T000397', 'T000502', 'T000451', 'T000621', 'T000235', 'T000362', 'T000430', 'T000692', 'T000533', 'T000754', 'T000764', 'T000519', 'T000255', 'T000480', 'T000212', 'T000211', 'T000085', 'T000240', 'T000418', 'T000055', 'T000720', 'T000512', 'T000110', 'T000587', 'T000363', 'T000734', 'T000396', 'T000421', 'T000011', 'T000193', 'T000484', 'T000175', 'T000513', 'T000182', 'T000748', 'T000156', 'T000310', 'T000066', 'T000332', 'T000138', 'T000351', 'T000082', 'T000468', 'T000405', 'T000646', 'T000251', 'T000661', 'T000221', 'T000077']",0,0,False
monash_kdd_cup_2018,large,,,0,10.391473054885864,target,20,[],0,100,False
monash_london_smart_meters,large,0.6997164534765907,2.0204962062926595,3,30.85076665878296,target,20,"['T000877', 'T001617', 'T004039']",0,97,False
